Country_ID,NUTS_ID,Sector_ID,ets_emis_t,type,major
FR,FRD2,C23,151000,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRD2,C24,0,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRE1,C19-C20,426206,Export-exposed (CBAM no help abroad),TRUE
FR,FRE1,C23,1353856,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRE1,C24,6203572,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRE2,C23,285670,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRE2,C24,30316,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRF1,C19-C20,283476,Export-exposed (CBAM no help abroad),TRUE
FR,FRF1,C23,337825,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRF1,C24,150062,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRF2,C23,744485,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRF2,C24,14495,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRF3,C19-C20,642118,Export-exposed (CBAM no help abroad),TRUE
FR,FRF3,C23,1542110,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRF3,C24,735081,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRG0,C19-C20,836249,Export-exposed (CBAM no help abroad),TRUE
FR,FRG0,C23,1041172,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRI1,C19-C20,22944,Export-exposed (CBAM no help abroad),TRUE
FR,FRI1,C23,204257,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRI2,C19-C20,113218,Export-exposed (CBAM no help abroad),TRUE
FR,FRI3,C23,719241,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRJ1,C23,977006,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRJ1,C24,153157,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRJ2,C19-C20,22041,Export-exposed (CBAM no help abroad),TRUE
FR,FRJ2,C23,584393,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRK1,C23,380802,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRK1,C24,116721,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRK2,C19-C20,1225337,Export-exposed (CBAM no help abroad),TRUE
FR,FRK2,C23,2359342,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRK2,C24,626037,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRL0,C19-C20,2609722,Export-exposed (CBAM no help abroad),TRUE
FR,FRL0,C23,1222925,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRL0,C24,5400182,"Home-market, low-trade (CBAM ~neutral)",TRUE
FR,FRY2,C23,0,"Home-market, low-trade (CBAM ~neutral)",TRUE
HR,HR03,C19-C20,678325,"Home-market, import-protected (CBAM shields)",FALSE
HR,HR03,C23,1277898,"Home-market, low-trade (CBAM ~neutral)",FALSE
HR,HR03,C24,15151,"Home-market, import-protected (CBAM shields)",FALSE
HR,HR04,C19-C20,344902,"Home-market, import-protected (CBAM shields)",FALSE
HR,HR04,C23,886180,"Home-market, low-trade (CBAM ~neutral)",FALSE
HR,HR04,C24,33099,"Home-market, import-protected (CBAM shields)",FALSE
HU,HU11,C23,16437,"Home-market, import-protected (CBAM shields)",TRUE
HU,HU12,C19-C20,879810,"Home-market, import-protected (CBAM shields)",TRUE
HU,HU12,C23,346068,"Home-market, import-protected (CBAM shields)",TRUE
HU,HU21,C19-C20,795568,"Home-market, import-protected (CBAM shields)",TRUE
HU,HU21,C23,142085,"Home-market, import-protected (CBAM shields)",TRUE
HU,HU21,C24,351013,"Home-market, import-protected (CBAM shields)",FALSE
HU,HU22,C23,28732,"Home-market, import-protected (CBAM shields)",TRUE
HU,HU23,C23,477053,"Home-market, import-protected (CBAM shields)",TRUE
HU,HU31,C19-C20,497451,"Home-market, import-protected (CBAM shields)",TRUE
HU,HU31,C23,53380,"Home-market, import-protected (CBAM shields)",TRUE
HU,HU31,C24,30781,"Home-market, import-protected (CBAM shields)",FALSE
HU,HU32,C23,0,"Home-market, import-protected (CBAM shields)",TRUE
HU,HU33,C23,99812,"Home-market, import-protected (CBAM shields)",TRUE
IE,IE04,C23,640446,"Home-market, import-protected (CBAM shields)",TRUE
IE,IE05,C19-C20,286922,Export-exposed (CBAM no help abroad),TRUE
IE,IE05,C23,856396,"Home-market, import-protected (CBAM shields)",TRUE
IE,IE06,C23,1379726,"Home-market, import-protected (CBAM shields)",TRUE
IT,ITC1,C19-C20,964516,"Home-market, import-protected (CBAM shields)",TRUE
IT,ITC1,C23,1012359,"Home-market, low-trade (CBAM ~neutral)",TRUE
IT,ITC1,C24,121468,"Home-market, import-protected (CBAM shields)",TRUE
IT,ITC2,C24,87962,"Home-market, import-protected (CBAM shields)",TRUE
IT,ITC3,C19-C20,267101,"Home-market, import-protected (CBAM shields)",TRUE
IT,ITC3,C23,157114,"Home-market, low-trade (CBAM ~neutral)",TRUE
IT,ITC3,C24,61742,"Home-market, import-protected (CBAM shields)",TRUE
IT,ITC4,C19-C20,1835604,"Home-market, import-protected (CBAM shields)",TRUE
IT,ITC4,C23,3814216,"Home-market, low-trade (CBAM ~neutral)",TRUE
IT,ITC4,C24,1805137,"Home-market, import-protected (CBAM shields)",TRUE
IT,ITF1,C23,347159,"Home-market, low-trade (CBAM ~neutral)",TRUE
IT,ITF2,C23,746142,"Home-market, low-trade (CBAM ~neutral)",TRUE
IT,ITF3,C23,137471,"Home-market, low-trade (CBAM ~neutral)",TRUE
IT,ITF3,C24,52017,"Home-market, import-protected (CBAM shields)",TRUE
IT,ITF4,C19-C20,401650,"Home-market, import-protected (CBAM shields)",TRUE
IT,ITF4,C23,766987,"Home-market, low-trade (CBAM ~neutral)",TRUE
