NUTS_ID,Country_ID,osm_banks,osm_share,ecb_offices,ecb_year,branches_cal,pop,branches_per10k,iubk,iubk_src,access_draft
EL51,EL,74,0.052370842179759375,1352,2025,70.80537862703467,565195,1.2527601735159488,68.17,nuts1,0.636584213243333
EL52,EL,242,0.17126680820948337,1352,2025,231.5527246992215,1772400,1.3064360454706698,68.17,nuts1,0.6337425477410931
EL53,EL,21,0.014861995753715499,1352,2025,20.093418259023355,243575,0.8249376273847215,68.17,nuts1,0.6592336556491707
EL54,EL,31,0.021939136588818117,1352,2025,29.661712668082096,324061,0.9153126315132674,68.17,nuts1,0.6544490937567523
EL61,EL,79,0.055909412597310686,1352,2025,75.58952583156405,676040,1.1181220908757477,49.62,nuts1,0.7587722822148499
EL62,EL,20,0.014154281670205236,1352,2025,19.13658881811748,198421,0.9644437241077044,49.62,nuts1,0.7669082005964594
EL63,EL,66,0.04670912951167728,1352,2025,63.15074309978768,635954,0.9930080335965759,49.62,nuts1,0.7653959715461646
EL64,EL,62,0.043878273177636234,1352,2025,59.32342533616419,507168,1.1696996919396372,49.62,nuts1,0.7560417017083014
EL65,EL,82,0.05803255484784147,1352,2025,78.46001415428167,529165,1.482713598863902,49.62,nuts1,0.739470367351994
ES11,ES,789,0.057810668229777255,17282,2025,999.0839683470106,2714741,3.680218364650663,76.91,nuts2,0.45386000793897174
ES12,ES,438,0.0320926143024619,17282,2025,554.6245603751465,1015128,5.46359237825325,71.57,nuts2,0.3925684747107506
ES13,ES,215,0.01575322391559203,17282,2025,272.24721570926147,593623,4.586197228026229,77.08,nuts2,0.40484193273645186
ES21,ES,966,0.07077960140679954,17282,2025,1223.2130715123096,2242343,5.455066738283615,77.11,nuts2,0.35865685012953064
ES22,ES,267,0.019563305978898007,17282,2025,338.09305392731534,683854,4.9439361899954575,74.62,nuts2,0.4011614527103866
ES23,ES,93,0.0068141852286049236,17282,2025,117.76274912075029,326803,3.603478215339219,71.43,nuts2,0.4919135441438589
ES24,ES,522,0.03824736225087925,17282,2025,660.9909144196952,1364621,4.843769181477459,71.71,nuts2,0.42451428488722387
ES30,ES,1795,0.131521101992966,17282,2025,2272.947684642438,7113886,3.195085899102738,79.14,nuts2,0.465711475944236
ES41,ES,1216,0.08909730363423213,17282,2025,1539.7796014067997,2401221,6.412485986949138,71.1,nuts2,0.3452481718521879
ES42,ES,573,0.0419841735052755,17282,2025,725.5704865181713,2126378,3.412236613237022,68.13,nuts2,0.5225070300318599
ES43,ES,471,0.034510550996483,17282,2025,596.4113423212192,1053345,5.662070283916658,67.25,nuts2,0.40885649753950926
ES51,ES,1573,0.11525498241500585,17282,2025,1991.8366060961312,8124126,2.4517549408959574,80,nuts2,0.49972998905644206
ES52,ES,1215,0.0890240328253224,17282,2025,1538.5133352872217,5425182,2.835874142631937,74.89,nuts2,0.5110900738741875
ES53,ES,450,0.03297186400937866,17282,2025,569.819753810082,1249844,4.559127009531445,84.44,nuts2,0.3606231585743993
ES61,ES,2139,0.15672626025791325,17282,2025,2708.543229777257,8676713,3.1216236261096304,69.04,nuts2,0.5322479716486102
ES62,ES,314,0.023007033997655333,17282,2025,397.60756154747946,1586989,2.50542103031262,70.07,nuts2,0.5584816959381396
ES64,ES,2,1.4654161781946072e-4,17282,2025,2.53253223915592,87067,0.29087165506517054,75.4,nuts2,0.6426622007195137
ES70,ES,610,0.04469519343493552,17282,2025,772.4223329425556,2258866,3.4195137424820934,73.78,nuts2,0.4870764902768179
FI19,FI,197,0.31121642969984203,733,2025,228.1216429699842,1399457,1.630072542207329,96.67,nuts2,0.4398317658433145
FI1B,FI,109,0.1721958925750395,733,2025,126.21958925750396,1782300,0.7081837471666047,96.31,nuts2,0.4908706458795652
FI1C,FI,131,0.20695102685624012,733,2025,151.695102685624,1151434,1.317445052739662,93.98,nuts2,0.4730679175724778
FI1D,FI,191,0.30173775671406006,733,2025,221.17377567140602,1272126,1.7386153232573345,94.43,nuts2,0.44797943770303383
FI20,FI,5,0.007898894154818325,733,2025,5.789889415481833,30654,1.8887875694792957,95.51,national,0.43333021684912265
FR10,FR,3229,0.16441774021080502,32674,2025,5372.185243647843,12549288,4.28086855895557,78.7,nuts2,0.41095802022279304
FRB0,FR,821,0.041804572534243085,32674,2025,1365.9226029838585,2588306,5.277284072995459,79.25,nuts2,0.35479509182171975
FRC1,FR,579,0.02948215285910688,32674,2025,963.2998625184582,1621320,5.941454262690019,77.69,nuts2,0.3293093384868786
FRC2,FR,427,0.02174245124497174,32674,2025,710.4128519782066,1175558,6.04319694968863,78.26,nuts2,0.32038741623495903
FRD1,FR,491,0.025001272977239166,32674,2025,816.8915932583125,1486036,5.497118463202186,71.06,nuts2,0.39395694250707436
FRD2,FR,491,0.025001272977239166,32674,2025,816.8915932583125,1864946,4.380242608945848,84.02,nuts2,0.37269865067466135
FRE1,FR,965,0.049136921431844796,32674,2025,1605.499770864097,4065757,3.9488335649771913,77.81,nuts2,0.4340567608028042
FRE2,FR,449,0.022862671215438668,32674,2025,747.014919293243,1908690,3.913757180543949,75.42,nuts2,0.4507382104333728
FRF1,FR,621,0.031620754620907375,32674,2025,1033.1765364835276,1941726,5.320918278292239,73.48,nuts2,0.3882746485502394
FRF2,FR,324,0.01649778501960385,32674,2025,539.0486277305362,1296360,4.158170783814189,78.58,nuts2,0.41819811318433464
FRF3,FR,617,0.03141707826264067,32674,2025,1026.5216151535212,2312069,4.439839880010161,75.2,nuts2,0.4242513517741979
FRG0,FR,1210,0.061612098375681046,32674,2025,2013.1137023270026,3945359,5.10248548313855,80.98,nuts2,0.3533184617512223
FRH0,FR,1141,0.058098681195580225,32674,2025,1898.3163093843882,3489252,5.440467783308251,79.34,nuts2,0.3455977056761874
FRI1,FR,1130,0.05753857121034676,32674,2025,1880.01527572687,3635159,5.171755281479765,83.75,nuts2,0.33246974381833927
FRI2,FR,252,0.012831610570802994,32674,2025,419.260043790417,729224,5.749399962020133,67.44,nuts2,0.40305464505361
FRI3,FR,629,0.032028107337440805,32674,2025,1046.486379143541,1846456,5.667540299598479,78.5,nuts2,0.338786484036504
FRJ1,FR,907,0.04618361423697744,32674,2025,1509.003411579001,2997570,5.03408898400705,75.12,nuts2,0.3932873027004371
FRJ2,FR,1020,0.05193747135801212,32674,2025,1697.004939151688,3208005,5.289907400866545,82.99,nuts2,0.3309286832172573
FRK1,FR,461,0.02347370029023881,32674,2025,766.9796832832628,1368441,5.604769831386686,78.7,nuts2,0.340869087575129
FRK2,FR,2076,0.10570802994042466,32674,2025,3453.9041702734353,6901647,5.004463674067125,79.35,nuts2,0.36861826287267696
FRL0,FR,1397,0.07113396812464994,32674,2025,2324.231274504812,5285125,4.397684585520327,78.74,nuts2,0.40452553048643414
FRM0,FR,78,0.003971688986200927,32674,2025,129.77096593512908,362253,3.5823296407518805,58.28,nuts2,0.5745987378154764
FRY1,FR,84,0.004277203523600998,32674,2025,139.753347930139,413791,3.3773897433762214,62.64,nuts2,0.5584047124589464
FRY2,FR,60,0.0030551453740007128,32674,2025,99.82381995009929,359419,2.77736624803083,62.81,nuts2,0.589116221392096
FRY3,FR,20,0.001018381791333571,32674,2025,33.2746066500331,297455,1.1186433796719872,69.58,nuts2,0.6349387051492338
FRY4,FR,142,0.007230510718468354,32674,2025,236.249707215235,904180,2.612861456958073,77.33,nuts2,0.5077620361701523
FRY5,FR,18,9.165436122002138e-4,32674,2025,29.94714598502979,329208,0.9096724862406075,70.75,nuts1,0.6387447125627335
HR03,HR,298,0.37578814627994955,792,2025,297.62421185372006,1322482,2.250497260860413,62.46,nuts2,0.6191802485682667
HU11,HU,302,0.19198982835346473,1300,2025,249.58677685950414,1685209,1.4810434602444214,82.29,nuts2,0.5369164344425519
HU12,HU,193,0.12269548633184997,1300,2025,159.50413223140495,1336134,1.1937734705606247,75.24,nuts2,0.5958539205939759
HU21,HU,169,0.10743801652892562,1300,2025,139.6694214876033,1051169,1.328705674231292,69.96,nuts2,0.6214607258539796
