"id","Country_ID","activity_id","Sector_ID","nace_id","lat","lon","NUTS3_ID","NUTS_ID","verified","allocatedFree"
"HU_206134","HU",20,"C21-C22",21.2,47.6031537,19.3269499,"HU120","HU12",0,0
"HU_201935","HU",20,"C19-C20",20.14,46.8333873,18.9160516,"HU233","HU23",122183,91118
"HU_201649","HU",20,"C29-C30",29.32,47.7000065,17.6801194,"HU221","HU22",7603,3242
"HU_98","HU",20,"C10-C12",10.84,46.9125846,19.712232,"HU331","HU33",3307,3292
"HU_169","HU",20,"C21-C22",21.2,47.4729032,19.1383661,"HU110","HU11",12172,11720
"HU_81","HU",20,"C19-C20",20.14,47.6911714,17.6499588,"HU221","HU22",18179,17727
"HU_262","HU",20,"C24",24.42,47.1903179,18.4636758,"HU211","HU21",0,0
"HU_253","HU",20,"C21-C22",22.11,46.9997847,18.9282737,"HU211","HU21",44283,9199
"HU_235","HU",20,"C23",23.99,47.6093162,19.1094142,"HU120","HU12",0,0
"HU_225","HU",20,"C10-C12",10.32,48.1912095,22.0997079,"HU323","HU32",0,0
"HU_224","HU",20,"C10-C12",10.32,48.116005,22.3145627,"HU323","HU32",0,0
"HU_193","HU",20,"C21-C22",21.2,47.5672968,21.6313673,"HU321","HU32",36185,20516
"HU_182","HU",20,"C29-C30",30.3,46.2734578,20.138218,"HU333","HU33",5099,1600
