"Country_ID","NUTS_ID","Sector_ID","ets_emis_t","alloc_free_t"
"RO","RO21","C16-C18",44818,42819
"RO","RO21","C19-C20",3304,5388
"RO","RO21","C23",568441,624466
"RO","RO21","C24",26452,17507
"RO","RO22","C16-C18",23978,29229
"RO","RO22","C19-C20",835562,736387
"RO","RO22","C23",939289,860380
"RO","RO22","C24",1434726,3105827
"RO","RO31","C16-C18",10203,9582
"RO","RO31","C19-C20",839535,441005
"RO","RO31","C23",1960650,1938630
"RO","RO31","C24",109325,92259
"RO","RO32","C23",72838,44668
"RO","RO32","C24",0,0
"RO","RO41","C16-C18",15557,16155
"RO","RO41","C19-C20",16906,118058
"RO","RO41","C23",58299,65550
"RO","RO41","C24",229396,319452
"RO","RO42","C23",686681,517071
"RO","RO42","C24",61810,47686
"SE","SE11","C16-C18",941,103991
"SE","SE11","C19-C20",100999,98032
"SE","SE12","C16-C18",115449,703891
"SE","SE12","C19-C20",5349,58897
"SE","SE12","C23",217794,153280
"SE","SE12","C24",1662720,1488753
"SE","SE21","C16-C18",23315,74577
"SE","SE21","C23",1473151,1538624
"SE","SE22","C16-C18",38122,267040
"SE","SE22","C19-C20",76056,64261
"SE","SE22","C23",58896,38471
"SE","SE22","C24",176408,210193
"SE","SE23","C16-C18",97440,211802
"SE","SE23","C19-C20",2551800,2199789
"SE","SE23","C23",437073,389604
"SE","SE23","C24",153599,148675
"SE","SE31","C16-C18",124254,755817
"SE","SE31","C23",165558,100118
"SE","SE31","C24",293280,269855
"SE","SE32","C16-C18",174970,419536
"SE","SE32","C19-C20",0,0
"SE","SE32","C23",31154,23736
"SE","SE32","C24",210920,183147
"SE","SE33","C16-C18",56481,474085
"SE","SE33","C23",91775,43895
"SE","SE33","C24",3756693,3541178
"SI","SI03","C16-C18",89577,50492
"SI","SI03","C19-C20",0,0
"SI","SI03","C23",78383,75754
"SI","SI03","C24",172174,189376
"SI","SI04","C16-C18",98573,115067
"SI","SI04","C23",761684,700616
"SI","SI04","C24",72758,75909
"SK","SK01","C19-C20",1408734,1245513
"SK","SK01","C23",868379,790877
"SK","SK02","C19-C20",794426,982724
"SK","SK02","C23",842847,914542
"SK","SK02","C24",0,0
"SK","SK03","C16-C18",93233,269963
"SK","SK03","C23",443870,513870
"SK","SK03","C24",96071,428461
"SK","SK04","C16-C18",15651,16688
"SK","SK04","C19-C20",14414,19633
"SK","SK04","C23",734518,822071
"SK","SK04","C24",12774,13814
